App;MedianMemory_MB;Pct95_Median_MB;Pct99_Median_MB;MeanSampleCount;SpikeFlag;LowSamplesFlag;AlwaysHighFlag
5276f69125425c161eb86cf3c7d1a158709a7c1f97530ae79cb25250ce635978;193.0;207.5;705.5;21144.75;True;False;False
3e96275c5a852eebcef8faef6712c81837b614c8d671999959803ad1f50452cc;191.0;356.5;804.5;5294.5;True;False;False
260f6870a9c1edc3c30f946c27c6d5990c0014b09baafbf87660c7ecba1287b6;190.0;227.0;927.0;17415.416666666668;True;False;False
81e32b57662e470f43f6f003683e2b87dde0ca486989049ac756d6123a3a4319;181.0;251.0;1001.0;19372.833333333332;True;False;False
cb10fed37c994a799a297e24b12fb72316872e4686c63ff43ed6c17387a8881e;164.0;213.5;495.0;21975.333333333332;True;False;False
5d09e27dfc4fb33e20bb4a01737ed8148314936daf691d3574e528dffdba797e;129.5;135.0;335.5;7386.25;True;False;False
5f20db0b2bbb2edff732447c2731aa2a3176b0373db5e1a04ba1f672ad162080;129.0;157.0;426.0;21356.666666666668;True;False;False
15a5f820e68fac733ec20fb5193623f09b8ca4c56a542fd87350c53549f535f3;123.0;221.5;447.0;35762.916666666664;True;False;False
1a71363792c82d9f35a3f47ef2edecf9ff94f96528c7e0e4e5a16876bccacaaf;122.0;196.5;415.5;41344.25;True;False;False
1894a18d1551e3817a409e584419a1158ca2098d66a8e11541656941ec0cbdb4;118.5;165.0;426.5;52889.166666666664;True;False;False
3c40c3c427729e366bc86e92224f996f6fb40522b8385863f6b2616724afd03b;115.5;157.5;584.0;48608.583333333336;True;False;False
d8724a85c5d323b5dd53ca92ce2f3c3afb63d545670343205336fd1c5871cb26;110.0;132.0;272.0;29280.5;True;False;False
2246c278c97ba9ea59196ec85f548309b8e59637b53ba081c6cab0850ff66ee8;110.0;140.5;313.5;30121.333333333332;True;False;False
7d0cceeefb2b83df5e07a17733c95de754b7c83a3a59ce94642840395fc694f2;104.0;98.0;415.0;511.0;True;False;False
